experiment_name,eqsat_time,segments
maxtext_tau=1000-gpu_2025-03-24_05:49:41,0.51298,1
maxtext_tau=1000-gpu_2025-03-24_05:49:41,1.1641,1
maxtext_tau=1000-gpu_2025-03-24_05:49:41,3.5771,1
maxtext_tau=5000-gpu_2025-03-24_05:49:41,0.59165,1
maxtext_tau=5000-gpu_2025-03-24_05:49:41,1.2983,1
maxtext_tau=5000-gpu_2025-03-24_05:49:41,3.9514,1
maxtext_tau=5000-gpu_2025-03-24_05:49:41,0.50549,1
maxtext_tau=5000-gpu_2025-03-24_05:49:41,1.1681,1
maxtext_tau=5000-gpu_2025-03-24_05:49:41,3.5861,1
maxtext_no_segmentation-gpu,0.59522,1
maxtext_no_segmentation-gpu,1.2949,1
maxtext_no_segmentation-gpu,3.9491,1
maxtext_no_segmentation-gpu,0.50262,1
maxtext_no_segmentation-gpu,1.1655,1
maxtext_no_segmentation-gpu,3.5732,1
bert_tau=5-cpu_2025-03-24_05:49:41,13.974,111
bert_tau=10-cpu_2025-03-24_05:49:41,11.801,81
bert_tau=25-cpu_2025-03-24_05:49:41,12.729,40
bert_tau=100-cpu_2025-03-24_05:49:41,22.602,13
bert_tau=500-cpu_2025-03-24_05:49:41,120.52,3
bert_tau=5-gpu_2025-03-24_05:49:41,13.5,111
bert_tau=10-gpu_2025-03-24_05:49:41,11.189,81
bert_tau=25-gpu_2025-03-24_05:49:41,13.036,40
bert_tau=100-gpu_2025-03-24_05:49:41,226.75,13
bert_tau=500-gpu_2025-03-24_05:49:41,531.36,3
gemma_tau=5-cpu_2025-03-24_05:49:41,34.441,50
gemma_tau=10-cpu_2025-03-24_05:49:41,33.338,28
gemma_tau=25-cpu_2025-03-24_05:49:41,32.685,18
gemma_tau=100-cpu_2025-03-24_05:49:41,33.246,6
gemma_tau=500-cpu_2025-03-24_05:49:41,39.738,2
gemma_tau=1000-cpu_2025-03-24_05:49:41,36.641,1
gemma_tau=5000-cpu_2025-03-24_05:49:41,35.941,1
gemma_no_segmentation-cpu,35.975,1
gemma_tau=5-gpu_2025-03-24_05:49:41,5.4901,50
gemma_tau=10-gpu_2025-03-24_05:49:41,3.821,28
gemma_tau=25-gpu_2025-03-24_05:49:41,3.2693,18
gemma_tau=100-gpu_2025-03-24_05:49:41,3.4161,6
gemma_tau=500-gpu_2025-03-24_05:49:41,11.228,2
gemma_tau=1000-gpu_2025-03-24_05:49:41,9.1226,1
gemma_tau=5000-gpu_2025-03-24_05:49:41,9.0934,1
gemma_no_segmentation-gpu,9.0257,1
gpt2_tau=5-cpu_2025-03-24_05:49:41,31.806,130
gpt2_tau=10-cpu_2025-03-24_05:49:41,29.574,91
gpt2_tau=25-cpu_2025-03-24_05:49:41,30.207,51
gpt2_tau=100-cpu_2025-03-24_05:49:41,35.546,14
gpt2_tau=500-cpu_2025-03-24_05:49:41,50.845,3
gpt2_tau=1000-cpu_2025-03-24_05:49:41,94.433,2
gpt2_tau=5000-cpu_2025-03-24_05:49:41,432.54,1
gpt2_no_segmentation-cpu,430.41,1
gpt2_tau=5-gpu_2025-03-24_05:49:41,15.874,130
gpt2_tau=10-gpu_2025-03-24_05:49:41,13.22,91
gpt2_tau=25-gpu_2025-03-24_05:49:41,13.49,51
gpt2_tau=100-gpu_2025-03-24_05:49:41,18.587,14
gpt2_tau=500-gpu_2025-03-24_05:49:41,339.01,3
gpt2_tau=1000-gpu_2025-03-24_05:49:41,456.86,2
jaxmd_tau=5-cpu_2025-03-24_05:49:41,0.92787,10
jaxmd_tau=5-cpu_2025-03-24_05:49:41,0.56743,8
jaxmd_tau=5-cpu_2025-03-24_05:49:41,3.011,15
jaxmd_tau=5-cpu_2025-03-24_05:49:41,0.77154,10
jaxmd_tau=5-cpu_2025-03-24_05:49:41,0.55849,8
jaxmd_tau=5-cpu_2025-03-24_05:49:41,2.4715,15
jaxmd_tau=5-cpu_2025-03-24_05:49:41,49.94,22
jaxmd_tau=10-cpu_2025-03-24_05:49:41,0.62787,6
jaxmd_tau=10-cpu_2025-03-24_05:49:41,0.42697,5
jaxmd_tau=10-cpu_2025-03-24_05:49:41,2.1216,8
jaxmd_tau=10-cpu_2025-03-24_05:49:41,0.4848,6
jaxmd_tau=10-cpu_2025-03-24_05:49:41,0.42272,5
jaxmd_tau=10-cpu_2025-03-24_05:49:41,1.6499,8
jaxmd_tau=10-cpu_2025-03-24_05:49:41,48.375,14
